sweep,run_id,group,label,diag_error,status,n_obstacles,mean_consistency,runtime_s,stitch_h_line_count,stitch_v_line_count,stitch_h_angle_std_deg,stitch_v_angle_std_deg,stitch_h_spacing_cv,stitch_v_spacing_cv,stitch_content_frac,stitch_convexity_ratio,stitch_bbox_aspect_ratio,stitcher_frames_placed,stitcher_frames_failed,stitcher_placement_rate,stitcher_keyframes,stitcher_grid_refined_frac,stitcher_grid_skipped_frac,pg_rms_before,pg_rms_after,pg_rms_ratio,pg_marker_count,pg_edge_count,pg_frame_count,dewarp_h_line_count,dewarp_v_line_count,dewarp_skipped,green_hull_area_frac,green_hull_convexity,green_pixel_frac,blob_count,blob_mean_area_frac,blob_std_area_frac,blob_max_area_frac,blob_mean_consistency,blob_std_consistency,blob_min_consistency,blob_count_high_consistency,marker_amr_found,marker_amr_instance_count,marker_amr_x_norm,marker_amr_y_norm,marker_amr_inside_hull,marker_goal_found,marker_goal_instance_count,marker_goal_x_norm,marker_goal_y_norm,marker_goal_inside_hull,inter_marker_distance_norm,cfg_artifact_thresh,cfg_blur_thresh,cfg_feature_exclude_dilate_px,cfg_feature_exclude_hsv,cfg_feature_extractor,cfg_feature_matcher,cfg_grid_hsv_h_hi,cfg_grid_hsv_h_lo,cfg_grid_hsv_s_lo,cfg_grid_hsv_v_lo,cfg_grid_match_dist,cfg_grid_min_intersections,cfg_keyframe_interval,cfg_lookback,cfg_mad_factor,cfg_match_ratio,cfg_max_movement,cfg_min_inliers,cfg_min_keypoint_bins,cfg_min_movement,cfg_pg_huber_delta,cfg_pg_iterations,cfg_pg_loop_weight,cfg_pg_marker_weight,cfg_pg_odom_weight,cfg_processing_scale,cfg_static_pixel_thresh,cfg_target_fps,cfg_use_fiducials,cfg_use_grid_intersections,cfg_use_pose_graph
scan22,F008,F,fail,False,ok,3,0.9985577464103699,11.2,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,16,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F009,F,fail,False,ok,3,0.9986974596977234,10.7,979.0,765.0,5.06317311919263,78.34151976250895,3.468088495851986,3.545695262698138,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,979.0,765.0,0.0,0.8534400742351476,0.18073130561780212,0.15424333888307218,3.0,0.02314285955340628,0.020357892848860273,0.05104911451242797,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.17176845168224714,0.8271315289826355,1.0,1.0,1.0,0.17819177416834606,0.7936197956797277,1.0,0.0224020417335788,2.0,60.0,7,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F010,F,fail,False,ok,3,0.9985577464103699,10.8,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,7,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,10,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F011,F,fail,False,ok,3,0.9985577464103699,10.9,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,7,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,12,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F012,F,fail,False,ok,3,0.9985577464103699,11.0,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,7,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,16,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F013,F,fail,False,ok,3,0.9986974596977234,10.7,979.0,765.0,5.06317311919263,78.34151976250895,3.468088495851986,3.545695262698138,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,979.0,765.0,0.0,0.8534400742351476,0.18073130561780212,0.15424333888307218,3.0,0.02314285955340628,0.020357892848860273,0.05104911451242797,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.17176845168224714,0.8271315289826355,1.0,1.0,1.0,0.17819177416834606,0.7936197956797277,1.0,0.0224020417335788,2.0,60.0,9,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F014,F,fail,False,ok,3,0.9985577464103699,11.4,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,9,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,10,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F015,F,fail,False,ok,3,0.9985577464103699,11.6,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,9,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,12,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F016,F,fail,False,ok,3,0.9985577464103699,11.7,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,9,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,16,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F017,F,fail,False,ok,3,0.9986974596977234,11.5,979.0,765.0,5.06317311919263,78.34151976250895,3.468088495851986,3.545695262698138,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,979.0,765.0,0.0,0.8534400742351476,0.18073130561780212,0.15424333888307218,3.0,0.02314285955340628,0.020357892848860273,0.05104911451242797,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.17176845168224714,0.8271315289826355,1.0,1.0,1.0,0.17819177416834606,0.7936197956797277,1.0,0.0224020417335788,2.0,60.0,12,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F018,F,fail,False,ok,3,0.9985577464103699,11.5,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,12,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,10,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F019,F,fail,False,ok,3,0.9985577464103699,11.4,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,12,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,12,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,F020,F,fail,False,ok,3,0.9985577464103699,11.6,980.0,795.0,5.519439499451645,63.711169021909505,3.050068881869094,3.530203301164013,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,795.0,0.0,0.8623021364064762,0.18123433428687516,0.15627875364577795,3.0,0.02339600446194151,0.02058222942108671,0.05160918974502894,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.1715246473515595,0.8198159938417281,1.0,1.0,1.0,0.17835228595150657,0.7863358322233812,1.0,0.022341153009013587,2.0,60.0,12,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,16,3.0,0.65,0.55,10,10,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,G001,G,fail,False,ok,3,0.9986974596977234,11.4,979.0,765.0,5.06317311919263,78.34151976250895,3.468088495851986,3.545695262698138,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,979.0,765.0,0.0,0.8534400742351476,0.18073130561780212,0.15424333888307218,3.0,0.02314285955340628,0.020357892848860273,0.05104911451242797,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.17176845168224714,0.8271315289826355,1.0,1.0,1.0,0.17819177416834606,0.7936197956797277,1.0,0.0224020417335788,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.65,0.55,10,0,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,G002,G,fail,False,ok,3,0.9986974596977234,11.0,979.0,765.0,5.06317311919263,78.34151976250895,3.468088495851986,3.545695262698138,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,979.0,765.0,0.0,0.8534400742351476,0.18073130561780212,0.15424333888307218,3.0,0.02314285955340628,0.020357892848860273,0.05104911451242797,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.17176845168224714,0.8271315289826355,1.0,1.0,1.0,0.17819177416834606,0.7936197956797277,1.0,0.0224020417335788,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.65,0.55,10,5,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
scan22,G003,G,fail,False,ok,3,0.9986974596977234,11.2,979.0,765.0,5.06317311919263,78.34151976250895,3.468088495851986,3.545695262698138,0.7401094444444445,0.8992892952402162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,979.0,765.0,0.0,0.8534400742351476,0.18073130561780212,0.15424333888307218,3.0,0.02314285955340628,0.020357892848860273,0.05104911451242797,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.17176845168224714,0.8271315289826355,1.0,1.0,1.0,0.17819177416834606,0.7936197956797277,1.0,0.0224020417335788,2.0,60.0,5,blue_tape,sift,ratio_test,130,90,50,50,25.0,4,10,8,3.0,0.65,0.55,10,8,0.015,4.0,10,2.0,15.0,1.0,0.5,3.0,5.0,False,False,False
